City_or_Regency,Vaccinated,Fully_Vaccinated,Total,Date,URL,
KAB LAMONGAN ,5340,,5340,2/8/2021,https://twitter.com/KominfoJatim/status/1358873463780347905/photo/,
KOTA PASURUAN,1420,,1420,2/8/2021,https://twitter.com/KominfoJatim/status/1358873463780347905/photo/,
KAB JEMBER,6636,,6636,2/8/2021,https://twitter.com/KominfoJatim/status/1358873463780347905/photo/,
KOTA BATU,1559,,1559,2/8/2021,https://twitter.com/KominfoJatim/status/1358873463780347905/photo/,
KAB MOJOKERTO,3761,,3761,2/8/2021,https://twitter.com/KominfoJatim/status/1358873463780347905/photo/,
KAB NGANJUK,3451,,3451,2/8/2021,https://twitter.com/KominfoJatim/status/1358873463780347905/photo/,
KAB JOMBANG,5139,,5139,2/8/2021,https://twitter.com/KominfoJatim/status/1358873463780347905/photo/,
KAB PROBOLINGGO,2930,,2930,2/8/2021,https://twitter.com/KominfoJatim/status/1358873463780347905/photo/,
KOTA KEDIRI,4286,,4286,2/8/2021,https://twitter.com/KominfoJatim/status/1358873463780347905/photo/,
KAB PASURUAN,4197,,4197,2/8/2021,https://twitter.com/KominfoJatim/status/1358873463780347905/photo/,
KAB BLITAR,2781,,2781,2/8/2021,https://twitter.com/KominfoJatim/status/1358873463780347905/photo/,
KAB BONDOWOSO,2570,,2570,2/8/2021,https://twitter.com/KominfoJatim/status/1358873463780347905/photo/,
KAB LUMAJANG,3360,,3360,2/8/2021,https://twitter.com/KominfoJatim/status/1358873463780347905/photo/,
KOTA MADIUN,3415,,3415,2/8/2021,https://twitter.com/KominfoJatim/status/1358873463780347905/photo/,
